"%s was added to your shopping cart.","%s wurde in den Warenkorb gelegt."
"%s was updated in your shopping cart.","%s se ha actualizado a su carrito de compras."
"(Excl. Tax)","(Impuesto no incluido)"
"Update product(s) quantities in shopping cart","Artikelanzahl im Warenkorb aktualisieren"
"Use Billing Address","Rechnungsadresse verwenden"
"VAT Number","USt-IdNr."
"View Shopping Cart","Warenkorb anzeigen"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Zur Zeit bearbeiten wir Ihre Bestellung. Sie werden bald eine eMail mit Details zu Ihrer Bestellung erhalten.<br/>Nach erfolgtem Versand erhalten Sie eine weitere eMail mit einem Link zur Sendungsverfolgung."
"What&#39;s this?","Was ist das?"
"What's this?","Was ist das?"
"You have no items in your shopping cart.","Sie haben keine Artikel in Ihrem Warenkorb."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie erhalten eine Bestellbestätigung per eMail mit weiteren Informationen und einem Link, um die Bestellung weiterverfolgen zu können."
"Your Checkout Progress","Ihr Bestellfortschritt"
"Your billing agreement # is: %s.","Die Nummer Ihrer Zahlungsvereinbarung lautet: %s."
"Your order # is: %s.","Ihre Bestellnummer lautet %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Ihre Bestellung kann momentan nicht abgeschlossen werden, da keine Zahlarten dafür verfügbar sind."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Ihre Bestellung kann momentan nicht abgeschlossen werden, da keine Versandarten dafür verfügbar sind. Bitte nehmen Sie die notwendigen Änderungen Ihrer Lieferadressen vor."
"Your order has been received.","Wir haben Ihre Bestellung erhalten."
"Your order number is ","Ihre Bestellnummer lautet "
"Your recurring payment profiles:","Ihre wiederkehrenden Zahlungen:"
"Zip/Postal Code","Postleitzahl"
"ok","in Ordnung"
"or","oder"
